,Film,Film Studio/Producer(s),Award,Year of Release,Movie Time,Movie Genre,IMDB Rating,Movie Info,Critic Consensus,Content Rating,Directors,Actors,Streaming Release Date,Tomatometer Status,Tomatometer Rating,Audience Status,Audience Rating,Film ID
0,Wings,Famous Players-Lasky,Winner,1927,144,"Drama,Romance,War",7.5,"With World War I afoot, David Armstrong (Richard Arlen) and Jack Powell (Charles ""Buddy"" Rogers) join the military with an eye toward flying American fighter planes. They leave behind Mary Preston (Clara Bow), a local girl who's in love with David but committed to Jack. Dispatched to France as newly minted pilots, the men take to the skies in one of the war's climactic air battles, and as frantic Mary longs for the safe return of both men, one pays the ultimate price for his bravery.","Subsequent war epics may have borrowed heavily from the original Best Picture winner, but they've all lacked Clara Bow's luminous screen presence and William Wellman's deft direction.",PG-13,William Wellman,"Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Gary Cooper, Jobyna Ralston, Charles Rogers, Arlette Marchal, El Brendel, ""Gunboat"" Smith, Richard Tucker, Julia Swayne Gordon, Henry B. Walthall, George Irving, Hedda Hopper, Roscoe Karns, Charles Barton, Nigel De Brulier, James Pierce, Gloria Wellman, Margery Chapin Wellman, Carl von Hartmann, William Wellman, Frank Tomick, Dick Grace, Rod Rogers, Thomas Carrigan, Dorothy Coonan Wellman",2017-01-02,Certified-Fresh,93.0,Upright,78.0,2becf7d5-a3de-46ab-ae45-abdd6b588067
3,The Broadway Melody,Metro-Goldwyn-Mayer,Winner,1929,100,"Drama,Musical,Romance",5.7,"Vaudeville sisters ""Hank"" (Bessie Love) and Queenie Mahoney (Anita Page) take their act to the Broadway stage in New York when Eddie (Charles King), a professional song-and-dance man appearing in a new show, invites his girlfriend Hank to join him. Soon after, Eddie transfers his affections to Queenie, who attempts to do right by her sister by dating another man -- high society member Jock Warriner (Kenneth Thompson). The showbiz melodrama is quickly overshadowed by the romantic subplot.","The Broadway Melody is interesting as an example of an early Hollywood musical, but otherwise, it's essentially bereft of appeal for modern audiences.",NR,Harry Beaumont,"Anita Page, Bessie Love, Charles King, Jed Prouty, Ken Thomson, Edward Dillon, Mary Doran, J. Emmett Beck, Marshall Ruth, J.E. Beck, Drew Demarest, Eddie Kane, Nacio Herb Brown, Ray Cooke, James Gleason, Charles King Bibby, Angella Mawby, Claudine Mawby, Claudette Mawby",2017-02-25,Rotten,33.0,Spilled,21.0,de063f3f-2d35-4e1c-8636-6eb4c16bd236
13,Cimarron,RKO Radio,Winner,1931,123,"Drama,Western",5.9,"In 1889, adventurous lawyer and newspaper editor Yancey Cravat (Richard Dix) convinces his genteel wife, Sabra (Irene Dunne), to join him in the rush to populate Osage, Oklahoma. After they begin to settle into the community, Yancey leaves to go further west. Alone, Sabra inherits his editorial duties and struggles to bring civilization to the rough frontier town. Over a tumultuous 40 years, the couple are repeatedly separated and reunited as Oklahoma makes its long journey to statehood.","Cimarron is supported by a strong performance from Irene Dunne, but uneven in basically every other regard, and riddled with potentially offensive stereotypes.",NR,Wesley Ruggles,"Richard Dix, Irene Dunne, Estelle Taylor, Nance O'Neil, William Collier, William Collier Jr., Roscoe Ates, George E. Stone, Robert McWade, Frank Darien, Edna May Oliver, Eugene Jackson, Dolores Brown, Gloria Vonic, Otto Hoffman, William Orlamond, Frank Beal, Nancy Dover, Helen Parrish, Donald Dillaway, Junior Johnson, Douglas Scott, Reggie Streeter, Lois Jane Campbell, Ann Lee, Tyrone Brereton, Lillian Lane, Henry Roquemore, Nell Craig, Bob McKenzie, Bob Kortman, Clara Hunt, William Janney, Dennis O'Keefe, Stanley Fields, Frederick Burt, William P. Burt, Frank O'Connor",2017-01-08,Rotten,50.0,Spilled,25.0,db2683c0-128e-4b5c-858f-d9f18c2fb9b9
18,Grand Hotel,Metro-Goldwyn-Mayer,Winner,1932,112,"Drama,Romance",7.4,"At a luxurious Berlin hotel between the wars, the once-wealthy Baron Felix von Gaigern (John Barrymore) supports himself as a thief and gambler. In this lavish adaptation of the successful Broadway play, the baron romances one of his marks, the aging ballerina Grusinskaya (Greta Garbo), and teams with dying accountant Otto Kringelein (Lionel Barrymore) against his former boss, crooked industrialist Preysing (Wallace Beery), and his ambitious stenographer, Flaemmchen (Joan Crawford).","Perhaps less a true film than a series of star-studded vignettes, Grand Hotel still remains an entertaining look back at a bygone Hollywood era.",NR,Edmund Goulding,"Greta Garbo, John Barrymore, Joan Crawford, Wallace Beery, Lewis Stone, Jean Hersholt, Robert McWade, Purnell Pratt, Ferdinand Gottschalk, Lionel Barrymore, Rafaela Ottiano, Morgan Wallace, Tully Marshall, Murray Kinnell, Edwin Maxwell, Mary Carlisle, John Davidson, Sam McDaniel, Rolfe Sedan, Herbert Evans, Lee Phelps, Frank Conroy, Bodil Rosing",2016-12-20,Certified-Fresh,86.0,Upright,77.0,be69f946-6adc-47e4-8491-79d6c033f59d
26,Cavalcade,Fox,Winner,1933,112,"Drama,Romance,War",5.9,"Upper-crust Londoners Robert and Jane Marryot (Clive Brook, Diana Wynyard) and their working-class counterparts, Alfred and Ellen Bridges, experience life's many triumphs and tragedies from the Boer War at the dawn of the 20th century up to 1930s. Queen Victoria's death and the sinking of the Titanic etch deep scars on both families, but the outbreak of World War I and its dramatic aftermath proves to be the greatest test of their courage and friendship.","Though solidly acted and pleasant to look at, Cavalcade lacks cohesion, and sacrifices true emotion for mawkishness.",NR,Frank Lloyd,"Diana Wynyard, Clive Brook, Ursula Jeans, Herbert Mundin, Una O'Connor, Beryl Mercer, Irene Browne, Merle Tottenham, Frank Lawton, John Warburton, Margaret Lindsay, Billy Bevan, Dick Henderson, Douglas Scott, Sheila MacGill, Bonita Granville, Harry Allen, Desmond Roberts, Lionel Belmore, Frank Atkinson, Adele Crane, Ann Shaw, Howard Davies, Will Stanton, Stuart Hall, Betty Grable, Mary Forbes, Lawrence Grant, Winter Hall, Claude King, Tempe Piggott, Des Roberts, John Rogers, C. Montague Shaw, Pat Somerset, David Torrence, Douglas Walton",2016-02-14,Rotten,59.0,Spilled,26.0,e71a2212-92c3-4212-9eb2-d468f10c768e
27,42nd Street,Warner Bros.,Nominee,1933,89,"Comedy,Drama,Musical",7.4,"When revered Broadway director Julian Marsh (Warner Baxter) falls on hard times with both his health and his finances, he helms an ambitious musical as a final production before his retirement. His lead actress, Dorothy Brock (Bebe Daniels), is torn between two loves--the show's wealthy backer, Abner Dillon (Guy Kibbee), and the earnest but penniless actor Pat Denning (George Brent) --while aspiring young performer Peggy Sawyer (Ruby Keeler) waits in the wings, hoping for her big break.","Bubsy Berkeley does it again in 42nd Street, a brilliant depression-era romp with stellar musical numbers and impeccable choreography.",NR,Lloyd Bacon,"Warner Baxter, Bebe Daniels, George Brent, Ruby Keeler, Dick Powell, Guy Kibbee, Una Merkel, Ginger Rogers, George E. Stone, Harry Akst, Harry Warren, Al Dubin, Robert McWade, Ned Sparks, Eddie Nugent, Allen Jenkins, Clarence Nordstrom, Henry B. Walthall, Albert Akst, Toby Wing, Pat Wing, Tom Kennedy, Busby Berkeley, Wallis Clark, Jack LaRue, Alexis Dubin, Louise Beavers, Dave O'Brien, Patricia Ellis, George Irving, Charles Lane, Rolfe Sedan, Harry Seymour, Gertrude Keeler, Helen Keeler, Joan Barclay, Ann Hovey, Renee Whitney, Dorothy Coonan Wellman, Barbara Rogers, June Glory, Jayne Shadduck, Milton Kibbee, Adele Lacey, Loretta Andrews, Anne Hovey, Margaret La Marr, Mary Jane Halsey, Ruth Eddings, Edna Callaghan, Patricia Farnum, Maxine Cantway, Lynn Browning, Donna Mae Roberts, Lorena Layson, Alice Jans, Eve Marcy, Dorothy White, Evelyn Joice, Agnes Ray, Grace Tobin, Kermit Maynard, Lyle Talbot",2012-04-16,Fresh,96.0,Upright,74.0,1ad59370-1ed5-4d3a-a8c4-8571f95da168
33,She Done Him Wrong,Paramount,Nominee,1933,66,"Comedy,Drama,History",6.4,"Burlesque barroom singer Lady Lou (Mae West) knows everyone in town, especially the men. Unfortunately, her convict ex-boyfriend Chick Clark (Owen Moore) is the jealous type and vows violence against her if she behaves unfaithfully while he's in prison. To make matters worse, Lou's boss, Gus Jordan (Noah Beery Sr.), secretly runs a prostitution and counterfeiting ring, and the director of the city mission next door is actually a federal agent (Cary Grant). What's a girl to do?","She Done Him Wrong, but putting Cary Grant and Mae West together is pretty much nothing but right.",NR,Lowell Sherman,"Mae West, Cary Grant, Gilbert Roland, Noah Beery Sr., Owen Moore, David Landau, Rafaela Ottiano, Noah Beery Sr., Dewey Robinson, Rochelle Hudson, Tammany Young, Fuzzy Knight, Grace La Rue, Robert E. Homans, Louise Beavers, Wade Boteler, Aggie Herring, Tom Kennedy, James Eagles, Tom McGuire, Al Hill, Arthur Housman, Mary Gordon, Michael Mark, Mike Donlin, Harry Wallace, Lee Kohlmar, Frank Moran, Heinie Conklin, Jack Carr, Ernie S. Adams",2015-09-10,Fresh,91.0,Spilled,53.0,af3be976-1cee-4383-a6f1-50545a634ab5
36,It Happened One Night,Columbia,Winner,1934,105,"Comedy,Romance",8.1,"In Frank Capra's acclaimed romantic comedy, spoiled heiress Ellie Andrews (Claudette Colbert) impetuously marries the scheming King Westley, leading her tycoon father (Walter Connolly) to spirit her away on his yacht. After jumping ship, Ellie falls in with cynical newspaper reporter Peter Warne (Clark Gable), who offers to help her reunite with her new husband in exchange for an exclusive story. But during their travels, the reporter finds himself falling for the feisty young heiress.","Capturing its stars and director at their finest, It Happened One Night remains unsurpassed by the countless romantic comedies it has inspired.",NR,Frank Capra,"Claudette Colbert, Clark Gable, Walter Connolly, Jason Thomas, Roscoe Karns, Jameson Thomas, Ward Bond, Henry Wadsworth, Alan Hale, Claire McDowell, Arthur Hoyt, Blanche Frederici, Wallis Clark, Charles D. Brown, Hal Price, Eddy Chandler, Douglas Carter Beane, Ky Robinson, J. Frank Holliday, James Burke, Joseph Crehan, Matty Roubert, Sherry Hall, Mickey Daniels, Charles C. Wilson, George Breakston, Earl Pingree, Harry Hume, Oliver Eckhardt, Bess Flowers, Fred Walton, Ethel Sykes, Edmund Burns, Rev. Neal Dodd, Milton Kibbee, Eva Dennison, Eddie Kane, Harry Holman, Tom Ricketts, Maidel Turner, Irving Bacon, Frank Yaconelli, Harry C. Bradley, Harry Todd, Bert Starkey, Rita Ross, Ernie S. Adams, Billy Engle, Dave Wengren, Kit Guard",2012-04-16,Certified-Fresh,98.0,Upright,93.0,88fe2d2b-3e07-4c9f-9978-388b4f7b0c93
45,The Thin Man,Metro-Goldwyn-Mayer,Nominee,1934,91,"Comedy,Crime,Mystery",8.0,"The recently divorced Gilbert discovers that his new girlfriend has stolen $50,000 and is carrying on with other men. Not long afterward, he disappears. Anxious to locate her father, Gilbert's daughter (Maureen O'Sullivan) goes to private detective Nick Charles (William Powell) for help.","Featuring an involving mystery and sparkling repartee between William Powell and Myrna Loy, The Thin Man is an endlessly charming romp.",NR,W.S. Van Dyke,"William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton, Minna Gombell, Porter Hall, Henry Wadsworth, William Henry, Harold Huber, Cesar Romero, Natalie Moorhead, Edward S. Brophy, Creighton Hale, Phil Tead, Nick Copeland, Dink Templeton, Ruth Channing, Edward Ellis, Gertrude Short, Clay Clement, Cyril Thornton, Robert E. Homans, Raymond Brown, Douglas Fowley, Sherry Hall, Polly Bailey, Thomas E. Jackson, Dixie Laughton, Arthur Belasco, Edward Hearn, Garry Owen, Fred Malatesta, Rolfe Sedan, Leo White, Walter Long, Kenneth Gibson, Tui Lorraine Bow, Bert Roach, Huey White, Ben Taggart, Charles Williams, John Larkin, Harry Tenbrook, Pat Flaherty",2009-01-01,Fresh,97.0,Upright,93.0,3ae65a34-8ae8-42c5-9404-06faa25b3cb0
48,Mutiny on the Bounty,Metro-Goldwyn-Mayer,Winner,1935,132,"Adventure,Biography,Drama",7.7,"As the cruel captain of the HMS Bounty, a ship bound for Tahiti, William Bligh (Charles Laughton) wins few friends. When the crew members finally tire of his abuse, Fletcher Christian (Clark Gable) leads a mutiny, resulting in Bligh's unceremonious removal from the ship. While Christian and the remaining crew sail on to Tahiti, Bligh becomes intent on exacting revenge, and he targets Roger Byam (Franchot Tone), a sailor who had actually tried to stop the mutiny.","The historical inaccuracies in this high-seas adventure are more than offset by its timeless themes, larger-than-life performances from Clark Gable and Charles Laughton, and Frank Lloyd's superb direction.",NR,Frank Lloyd,"Charles Laughton, Clark Gable, Franchot Tone, Herbert Mundin, Eddie Quillan, Dudley Digges, Donald Crisp, Henry Stephenson, Francis Lister, Spring Byington, Movita, Mamo Clark, Ian Wolfe, Ivan Simpson, DeWitt Jennings, Stanley Fields, Wallis Clark, Vernon P. Downing, Dick Winslow, Byron Russell, Percy Waram, David Torrence, John Harrington, Robert Livingston, Douglas Walton, Alec Craig, Doris Lloyd, Eric Wilton, Lionel Belmore, Nadine Beresford, Marion Clayton, Mary Gordon, Winter Hall, James Cagney, David Niven, Charles Nauu, Sam Wallace Driscoll, Hal Le Sueur, William Bambridge, David Thursby, Crauford Kent, Pat Flaherty, Charles Irwin, John Powers, King Mojave, William Stack, Harold Entwistle, Will Stanton, Harry Cording",2017-03-07,Certified-Fresh,93.0,Upright,83.0,3cea2927-f5a4-4ffb-9e17-88566f2cd111
59,Top Hat,RKO Radio,Nominee,1935,101,"Comedy,Musical,Romance",7.8,"The story centers on wealthy Dale Tremont (Ginger Rogers), on holiday in London and Venice. She assumes that American entertainer Jerry Travers (Fred Astaire) is the husband of her friend Madge (Helen Broderick) -- who's actually the wife of Jerry's business manager Horace Hardwick (Edward Everett Horton).","A glamorous and enthralling Depression-era diversion, Top Hat is nearly flawless, with acrobatics by Fred Astaire and Ginger Rogers that make the hardest physical stunts seem light as air.",NR,Mark Sandrich,"Fred Astaire, Ginger Rogers, Edward Everett Horton, Helen Broderick, Eric Blore, Erik Rhodes, Eric Rhodes, Edward Mudie, Lucille Ball, Edgar Norton, Leonard Mudie, Gino Corrado, Peter Hobbes, Frank Mills, Tom Ricketts, Dennis O'Keefe, Ben Holmes, Nick Thompson, Tom Costello, John Impolito, Genaro Spagnoli, Rita Rozelle, Phyllis Coghlan, Charles Hall",2008-08-18,Certified-Fresh,100.0,Upright,91.0,c7ea701f-f0be-4108-b734-14412b70d3b2
60,The Great Ziegfeld,Metro-Goldwyn-Mayer,Winner,1936,176,"Biography,Drama,Musical",6.7,"This lively biopic depicts the rise of Florenz Ziegfeld (William Powell), a theater producer who became renowned during the 1920s for his lavish stage productions. Starting out by promoting individual performers, Ziegfeld established revues featuring dozens of women, shows that developed into his famous Ziegfeld Follies on Broadway. His appreciation of women is also apparent off-stage, leading to a love triangle involving actresses Anna Held (Luise Rainer) and Billie Burke (Myrna Loy).","This biopic is undeniably stylish, but loses points for excessive length, an overreliance on clichés, and historical inaccuracies.",NR,Robert Z. Leonard,"William Powell, Luise Rainer, Myrna Loy, Frank Morgan, Reginald Owen, Nat Pendleton, Virginia Bruce, Ernest Cossart, Robert Greig, Joseph Cawthorn, Raymond Walburn, Fanny Brice, Jean Chatburn, Ann Pennington, Ray Bolger, Harriet Hoctor, Charles Trowbridge, Gilda Gray, Andrew A. Trimble, Joan Holland, A.A. Trimble, Buddy Doyle, Charles Judels, Leon Errol, Marcelle Corday, Esther Muir, Herman Bing, Paul Irving, William Demarest, Alfred P. James, Miss Morocco, Suzanne Kaaren, Sarah Edwards, James P. Burtis, Mickey Daniels, Grace Hayle, Richard Tucker, Clay Clement, Larry Wheat, Selmer Jackson, William M. Griffith, Alice Keating, Rosina Lawrence, Jack Baxley, Charles Coleman, Eric Wilton, Mary Howard, Selmar Jackson, Bert Hanlon, Evelyn Dockson, Franklyn Ardell, John Larkin, David Burns, Phil Tead, Susan Fleming, Adrienne D'Ambricourt, Charles Fallon, Boothe Howard, Lawrence Wheat, Edwin Maxwell, Ruth Gillette, Stanley Morner, John Hyams, Wallis Clark, Billie Burke, Raymond Brown, Pat Nixon, Mary Lange, Dennis Morgan",2016-11-18,Fresh,62.0,Spilled,50.0,321ede7b-fac6-4259-b070-b403b3404042
70,The Life of Emile Zola,Warner Bros.,Winner,1937,116,"Biography,Drama",7.2,"After struggling to establish himself, author Emile Zola (Paul Muni) wins success writing about the unsavory side of Paris and settles into a comfortable upper-class life. However, Zola's complacency is shaken when Jewish officer Alfred Dreyfus (Joseph Schildkraut) is imprisoned for being a spy. Realizing that Dreyfus is an innocent victim of anti-Semitism, Zola boldly pens a newspaper article exposing the truth, is charged with libel and must defend himself in a dramatic courtroom testimony.","Well-written, well-meaning and solidly acted, The Life of Emile Zola film may ultimately be more earnest than dramatically engaging.",G,"Irving Rapper, William Dieterle","Paul Muni, Joseph Schildkraut, Gale Sondergaard, Gloria Holden, Donald Crisp, Erin O'Brien-Moore, John Litel, Henry O'Neill, Morris Carnovsky, Louis Calhern, Ralph Morgan, Robert H. Barrat, Vladimir Sokoloff, Harry Davenport, Robert Warwick, Charles Richman, Dickie Moore, Rolla Gourvitch, Gilbert Emery, Walter Kingsford, Paul Everton, Montagu Love, Frank Sheridan, Lumsden Hare, Marcia Mae Jones, Florence Roberts, Grant Mitchell, Moroni Olsen, Egon Brecher, Frank Reicher, Walter O. Stahl, Frank Darien, Iphigenie Castiglioni, Arthur Ayleswofth, Frank Mayo, Alexander Leftwich, Paul Irving, Pierre Watkin, Holmes Herbert, Robert Cummings Sr., Harry Worth, William Von Brincken",2015-12-26,Fresh,82.0,Upright,73.0,0538990c-5cfe-4b21-b733-386740e5cbd6
71,The Awful Truth,Columbia,Nominee,1937,90,"Comedy,Romance",7.7,"Jerry (Cary Grant) and Lucy (Irene Dunne) are a married couple who doubt each other's fidelity: Jerry suspects Lucy and her music teacher (Alexander D'Arcy) of spending an evening together, and Lucy is convinced Jerry lied about a business trip. When the jealous pair file for divorce, both rush into new relationships, but quickly realize their love never died. The soon-to-be-divorced husband and wife then both scramble to spoil each other's chances for newfound romance.",Great comic direction by Leo McCarrey and memorable onscreen chemistry from stars Cary Grant and Irene Dunne make this screwball comedy a charmer.,NR,Leo McCarey,"Cary Grant, Irene Dunne, Ralph Bellamy, Alex D'Arcy, Cecil Cunningham, Molly Lamont, Esther Dale, Joyce Compton, Robert (Tex) Allen, Robert Warwick, Mary Forbes, Claud Allister, Zita Moulton, Marguerite Churchill, Colton Scott, Wyn Cahoon, Paul Stanton, Mitchell Harris, Alan Bridge, Edgar Dearing, Leonard Carey, Miki Morita, Frank C. Wilson, Vernon Dent, Al Bridge, Bobby Watson, Byron Foulger, Kathryn Curry, Frank Wilson, Edward Peil Sr., Bess Flowers, John Tyrrell, Edmund Mortimer, George C. Pearce",2012-04-16,Fresh,93.0,Upright,87.0,fe542b19-4de9-465d-8b97-19ff88872e56
81,The Adventures of Robin Hood,Warner Bros.-First National,Nominee,1938,102,"Action,Adventure,Romance",7.9,"When King Richard the Lionheart is captured, his scheming brother Prince John (Claude Rains) plots to reach the throne, to the outrage of Sir Robin of Locksley (Errol Flynn), the bandit king of Sherwood Forest. Rounding up his band of men and eventually winning the support of the lovely Maid Marian (Olivia de Havilland), Robin accuses Prince John of treachery and, when the escaped Richard returns covertly to England, joins forces with the king to prevent Prince John from taking the crown.","Errol Flynn thrills as the legendary title character, and the film embodies the type of imaginative family adventure tailor-made for the silver screen.",PG,"Michael Curtiz, William Keighley","Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Eugene Pallette, Alan Hale, Una O'Connor, Patric Knowles, Melville Cooper, Herbert Mundin, Montagu Love, Ian Hunter, Robert Warwick, Leonard Willey, Harry Cording, Howard Hill, Robert Noble, Kenneth Hunter, Colin Kenny, Lester Matthews, Ivan Simpson, James Baker, Charles McNaughton, Wilfred Lucas, Lionel Belmore, Janet Shaw, Reginald Sheffield, Crauford Kent, Austin Fairman, Hal Brazeale, Holmes Herbert, Leonard Mudie, Herbert Evans, Alec Harford, Peter Hobbes, Leyland Hodgson, Olaf Hytten, Marten Lamont, Val Stanton, John Sutton",2014-01-23,Certified-Fresh,100.0,Upright,89.0,bec32b70-fccd-4f50-b68d-88cca2d2fc7b
91,Dark Victory,Warner Bros.-First National,Nominee,1939,104,"Drama,Romance",7.5,"Socialite Judith Traherne (Bette Davis) lives a lavish but emotionally empty life. Riding horses is one of her few joys, and her stable master (Humphrey Bogart) is secretly in love with her. Told she has a brain tumor by her doctor, Frederick Steele (George Brent), Judith becomes distraught. After she decides to have surgery to remove the tumor, Judith realizes she is in love with Dr. Steele, but more troubling medical news may sabotage her new relationship, and her second chance at life.","Bette Davis does it her way with a tour de force performance in Dark Victory, a moving melodrama that snatches triumph from the jaws of mortality.",PG,Edmund Goulding,"Bette Davis, George Brent, Humphrey Bogart, Geraldine Fitzgerald, Ronald Reagan, Cora Witherspoon, Henry Travers, Dorothy Peterson, Virginia Brissac, Charles Richman, Herbert Rawlinson, Leonard Mudie, Fay Helm, Lotta Williams, Diane Bernard, Jack Mower, William Worthington, Alexander Leftwich, Ila Rhodes, Frank Darien, Stuart Holmes, John Harron, John Ridgely, Rosella Towne, Edgar Edwards, Lottie Williams, Jeffrey Sayre, Will Morgan, Wedgewood Nowell, Nat Carr, Eddie Graham, Jack Goodrich, Maris Wrixon, Richard Bond, Wilda Bennett, Leyland Hodgson, Mary Currier, David Newell, Marian Alden, Paulette Evans, Frank Mayo, Sidney Bracey, Speirs Buskell",2007-12-31,Fresh,88.0,Upright,81.0,ae377884-4d60-47f5-893a-1d2577eb6405
94,Mr. Smith Goes to Washington,Columbia,Nominee,1939,129,"Comedy,Drama",8.1,"When the idealistic young Jefferson Smith (James Stewart) winds up appointed to the United States Senate, he gains the mentorship of Senator Joseph Paine (Claude Rains). However, Paine isn't as noble as his reputation would indicate, and he becomes involved in a scheme to discredit Smith, who wants to build a boys' campsite where a more lucrative project could go. Determined to stand up against Paine and his corrupt peers, Smith takes his case to the Senate floor.",Mr. Smith Goes to Washington -- and returns with an uplifting ode to idealism that distills the strengths of its director and leading man.,NR,Frank Capra,"James Stewart, Jean Arthur, Astrid Allwyn, Claude Rains, Edward Arnold, Guy Kibbee, Fredrick Burton, Thomas Mitchell, Harry Carey, Eugene Pallette, Beulah Bondi, Buelah Bondi, Maurice Costello, Astrid Allwyn, Ruth Donnelly, Ruth Donnelly, Grant Mitchell, Porter Hall, Vera Lewis, Pierre Watkin, Charles Lane, Grant Mitchell, William Demarest, Russell Simpson, Dick Elliott, H.B. Warner, H.V. Kaltenborn, Pierre Watkin, Lloyd Whitlock, Johnny Russell, Ken Carpenter, Jack Carson, Maurice Costello, Allan Cavan, Baby Dumpling, Harry A. Bailey, Fred Hoose, Joe King, Paul Stanton, Russell Simpson, Stanley Andrews, Walter Soderling, Frank Jaquet, Ferris Taylor, Carl Stockdale, Alan Bridge, Edmund Cobb, Frederick Burton, Vera Lewis, Dora Clement, Erville Alderson, Laura Treadwell, Eddie Fetherstone, Ann Doran, Douglas Evans, Sam Ash, Lloyd Whitlock, Frank Austin, Wade Boteler, Myonne Walsh, Byron Foulger, Al Bridge, Margaret Mann, Billy Watson, Delmar Watson, Maurice Cass, John Russell, Harry Watson, Garry Watson, John Ince, Larry Simms, George Cooper, Clyde Dilson, William Newell, Jack Cooper, George Chandler, Evalyn Knapp, Gino Corrado, Dub Taylor, Jack Gardner, Alec Craig, Donald Kerr, Eddie Kane, Beatrice Curtis, Robert Walker, George McKay, Gene Morgan, Victor Travers, Matt McHugh, Rev. Neal Dodd, William Arnold, Hal Cooke, James M. McNamara, Helen Jerome Eddy, Jack Egan, Eddy Chandler, Eddie Fetherston, Ed Randolph, Vernon Dent, Harry Hayden, Louis Jean Heydt, Craig Stevens, Ed Brewer, Olaf Hytten, Lloyd Ingraham, Anne Cornwall, James Millican, Mabel Forrest, Dick Jones, Nick Copeland, Dulce Daye, Robert Emmett Keane, Fred 'Snowflake' Toones, Milton Kibbee, Charles R. Moore, Frances Gifford, Wyndham Standing, Adrian Booth, Wright Kramer, Dorothy Comingore, Mary Gordon, Arthur Loft, June Gittelson, Hank Mann, Philo McCullough, Dave Willock, Florence Wix, Harlan Briggs, Lafe [Lafayette] McKee, Count Stefanelli, Arthur Thalasso, Evelyn Knapp, Robert Middlemass, Alex Novinsky, Frank O'Connor, Frank Puglia",2012-04-16,Certified-Fresh,96.0,Upright,94.0,38d9b2bf-23d2-4827-8bfa-336ba0dbf1c3
95,Ninotchka,Metro-Goldwyn-Mayer,Nominee,1939,110,"Comedy,Romance",7.9,"A no-nonsense diplomat of the Soviet Union, Nina Ivanovna ""Ninotchka"" Yakushova (Greta Garbo) arrives in Paris to ensure the sale of jewels seized during the Russian Revolution. Meanwhile, carefree bachelor Count Leon d'Algout (Melvyn Douglas) attempts to intercept the valuables on behalf of their former owner, the Grand Duchess Swana (Ina Claire). Despite their conflicting allegiances, the icy Ninotchka soon warms to Leon's charms, reluctantly going against her better judgment.","With Greta Garbo proving her comedy chops in the twilight of her career, Ninotchka is a can't-miss classic.",R,Ernst Lubitsch,"Greta Garbo, Melvyn Douglas, Bela Lugosi, Alexandra Grannach, Sig Rumann, Felix Bressart, Alexander Granach, Gregory Gaye, Richard Carle, Edwin Maxwell, Rolfe Sedan, George Tobias, Dorothy Adams, Jo Gilbert, Lawrence Grant, Charles Judels, Frank Reicher, Edwin Stanley, Peggy Moran, Marek Windheim, Alexander Schoenberg, Mary Forbes, Alexander Schonberg, George Davis, Armand Kaliz, Wolfgang Zilzer, Tamara Shayne, William Irving, Bess Flowers, Elizabeth Williams, Paul Weigel, Harry Semels, Jody Gilbert, Florence Shirley, Ellinor Vanderveer, Sandra Morgan, Emily Cabanne, Symona Boniface, Monya Andre, Kay Stewart, Jenifer Gray, Lucille Pinson",2009-01-01,Fresh,97.0,Upright,89.0,62d27610-e080-4569-9260-c7883e13adbc
97,Stagecoach,Walter Wanger (production company),Nominee,1939,96,"Adventure,Drama,Western",7.9,"John Ford's landmark Western revolves around an assorted group of colorful passengers aboard the Overland stagecoach bound for Lordsburg, New Mexico, in the 1880s. An alcoholic philosophizer (Thomas Mitchell), a lady of ill repute (Claire Trevor) and a timid liquor salesman (Donald Meek) are among the motley crew of travelers who must contend with an escaped outlaw, the Ringo Kid (John Wayne), and the ever-present threat of an Apache attack as they make their way across the Wild West.","Typifying the best that the Western genre has to offer, Stagecoach is a rip-roaring adventure given dramatic heft by John Ford's dynamic direction and John Wayne's mesmerizing star turn.",NR,John Ford,"John Wayne, Thomas Mitchell, Claire Trevor, John Carradine, Andy Devine, Donald Meek, Louise Platt, George Bancroft, Berton Churchill, Tim Holt, Tom Tyler, Chris-Pin Martin, Elvira Ríos, Francis Ford, Marga Ann Deighton, Cornelius Keefe, Kent Odell, Walter McGrail, Chief John Big Tree, Brenda Sue Fowler, Louis Mason, Florence Lake, Joe Rickson, Vester Pegg, Yakima Canutt, Harry Tenbrook, Paul McVey, Jack Pennick, William Hopper, Bryant Washburn, Nora Cecil, Helen Gibson, Dorothy Appleby, Buddy Roosevelt, Bill Cody, Duke R. Lee, Mary Kathleen Walker, Ed Brady, Robert E. Homans, Franklyn Farnum, Jim Mason, Merrill McCormack, Artie Ortego, Steve Clemente, Theodore Lorch, Fritzi Brunette, Leonard Trainor, Chris Phillips, Tex Driscoll, Patrick Wayne, Ted Billings, Al Lee, Hank Worden, John Eckert, Jack Mohr, Franklin Farnum, Patsy Doyle, Wiggie Blowne, Margaret Smith, Si Jenks, Many Mules",2016-08-10,Certified-Fresh,100.0,Upright,86.0,48e19755-7fc6-48d3-af96-7024e9f688ef
